Czas w sekundach;Wartość funkcji celu
0;25267
42 68
6 32
3 29
4 30
22 48
13 39
40 66
34 60
22 48
2 28
51 77
0 26
45 71
30 56
15 41
45 71
33 59
17 43
4 30
46 72
24 50
36 62
24 50
37 63
35 61
19 45
19 45
15 41
1 27
50 76
48 74
34 60
2 28
36 62
7 33
21 47
27 53
15 41
41 67
23 49
37 63
51 77
25 51
12 38
18 44
2 28
48 74
34 60
1 27
22 48
35 61
3 29
15 41
42 68
32 58
20 46
24 50
21 47
27 53
3 29
17 43
3 29
38 64
1 27
30 56
28 54
29 55
50 76
7 33
44 70
20 46
4 30
46 72
17 43
19 45
21 47
49 75
46 72
2 28
38 64
46 72
46 72
9 35
5 31
20 46
31 57
48 74
44 70
17 43
25 51
22 48
28 54
38 64
20 46
12 38
12 38
40 66
5 31
15 41
23 49
14 40
22 48
13 39
24 50
40 66
15 41
45 71
27 53
21 47
46 72
32 58
42 68
7 33
38 64
2 28
21 47
3 29
5 31
5 31
47 73
19 45
49 75
43 69
33 59
6 32
16 42
37 63
13 39
48 74
21 47
35 61
27 53
26 52
34 60
32 58
30 56
2 28
49 75
42 68
5 31
8 34
14 40
7 33
39 65
12 38
8 34
24 50
0 26
5 31
4 30
27 53
10 36
31 57
44 70
15 41
0 26
10 36
26 52
31 57
28 54
14 40
51 77
51 77
33 59
44 70
26 52
20 46
42 68
30 56
10 36
21 47
39 65
17 43
3 29
23 49
1 27
8 34
5 31
6 32
24 50
23 49
2 28
12 38
30 56
41 67
16 42
19 45
12 38
14 40
34 60
13 39
41 67
5 31
16 42
20 46
4 30
44 70
5 31
22 48
4 30
41 67
11 37
46 72
47 73
44 70
35 61
17 43
7 33
33 59
45 71
23 49
39 65
19 45
31 57
20 46
28 54
18 44
1 27
22 48
23 49
48 74
11 37
31 57
26 52
38 64
7 33
36 62
12 38
9 35
50 76
37 63
43 69
37 63
45 71
46 72
37 63
29 55
21 47
6 32
8 34
38 64
11 37
32 58
9 35
43 69
34 60
23 49
18 44
3 29
24 50
14 40
26 52
3 29
8 34
42 68
32 58
25 51
46 72
17 43
28 54
43 69
5 31
36 62
13 39
8 34
21 47
50 76
19 45
10 36
3 29
6 32
50 76
22 48
13 39
19 45
27 53
2 28
25 51
4 30
8 34
34 60
44 70
43 69
19 45
4 30
29 55
44 70
5 31
0 26
8 34
24 50
28 54
24 50
12 38
49 75
36 62
14 40
25 51
13 39
2 28
11 37
34 60
6 32
50 76
45 71
26 52
6 32
41 67
50 76
31 57
0 26
5 31
12 38
44 70
33 59
28 54
51 77
32 58
22 48
3 29
32 58
6 32
21 47
25 51
48 74
35 61
17 43
8 34
50 76
4 30
46 72
51 77
31 57
0 26
24 50
47 73
27 53
6 32
17 43
22 48
29 55
17 43
42 68
15 41
42 68
40 66
18 44
45 71
28 54
33 59
7 33
5 31
43 69
22 48
29 55
15 41
12 38
6 32
1 27
1 27
16 42
9 35
42 68
29 55
4 30
7 33
5 31
47 73
2 28
39 65
38 64
17 43
20 46
19 45
0 26
28 54
22 48
42 68
20 46
17 43
19 45
3 29
11 37
45 71
20 46
45 71
5 31
34 60
37 63
4 30
37 63
0 26
26 52
41 67
13 39
35 61
31 57
18 44
23 49
13 39
6 32
49 75
12 38
41 67
24 50
42 68
43 69
41 67
51 77
19 45
4 30
46 72
27 53
22 48
13 39
39 65
38 64
23 49
45 71
11 37
17 43
18 44
27 53
24 50
22 48
27 53
35 61
15 41
48 74
43 69
47 73
8 34
0 26
3 29
40 66
38 64
4 30
49 75
27 53
23 49
4 30
19 45
30 56
2 28
13 39
21 47
50 76
26 52
41 67
43 69
2 28
26 52
43 69
0 26
34 60
15 41
22 48
34 60
40 66
40 66
46 72
19 45
45 71
51 77
20 46
6 32
43 69
29 55
43 69
15 41
43 69
29 55
29 55
21 47
46 72
13 39
43 69
11 37
21 47
6 32
12 38
41 67
9 35
15 41
19 45
15 41
24 50
35 61
28 54
7 33
43 69
3 29
42 68
15 41
35 61
36 62
11 37
27 53
24 50
2 28
10 36
0 26
23 49
51 77
50 76
34 60
45 71
40 66
41 67
51 77
39 65
35 61
29 55
10 36
38 64
13 39
18 44
21 47
22 48
21 47
7 33
47 73
14 40
48 74
22 48
41 67
41 67
27 53
24 50
0 26
46 72
5 31
1 27
1 27
29 55
0 26
43 69
37 63
7 33
40 66
7 33
13 39
2 28
49 75
15 41
0 26
22 48
20 46
48 74
18 44
24 50
49 75
4 30
26 52
12 38
18 44
10 36
43 69
19 45
6 32
9 35
47 73
13 39
37 63
32 58
9 35
28 54
33 59
6 32
15 41
7 33
39 65
15 41
28 54
45 71
0 26
44 70
32 58
28 54
34 60
51 77
49 75
39 65
50 76
13 39
50 76
35 61
12 38
14 40
18 44
30 56
17 43
30 56
9 35
8 34
23 49
31 57
